u,g,r,i,z,y,redshift,mstar
26.5277,27.346,26.6348,26.7827,26.4734,27.0572,0.325875,7.00676972824547
27.7603,27.1476,27.0173,26.3089,25.877,25.7524,1.25729,8.7925576703446
27.1672,26.9292,26.1401,25.2221,25.0025,24.6726,0.799136,8.69903601208081
27.1314,26.5043,26.0684,25.5108,25.4016,25.6522,0.695535,8.07910523786238
26.7635,27.2813,26.6027,25.8334,25.436,25.1172,0.979077,8.47892705558293
29.3938,99,27.6609,26.8218,26.6724,25.7368,0.711743,8.32775523882776
27.3436,28.6422,27.9469,26.9319,26.9755,27.3856,0.733645,7.55764432588151
28.8691,28.89,27.6827,26.5335,25.1759,24.5302,1.85788,11.3964852942842
28.2546,26.7231,25.8132,25.3079,24.6281,24.4263,1.13459,9.32020862055824
26.9376,26.0677,25.1378,24.1482,23.8249,23.5657,0.749427,9.43543662556543
28.8602,29.2235,27.856,26.9119,26.8494,25.3049,0.955076,8.78075570661912
26.1844,26.0069,25.3706,24.7326,24.1697,23.6723,0.997761,9.53100860256336
27.0315,27.134,26.8775,26.3956,26.1056,25.6869,1.16294,8.81918187259309
22.9408,22.251,21.2543,20.8142,20.5575,20.3565,0.461068,10.1061296768118
30.3331,29.3074,27.2199,26.0369,25.3771,24.5568,1.16063,9.96989514250775
27.4083,26.9546,25.8728,25.1792,25.1349,25.1626,0.681575,8.41567766989238
26.6315,26.9612,26.1472,25.9333,25.8308,25.6333,0.367347,7.18173785865595
29.3542,27.6967,26.827,26.1889,25.7942,25.362,0.731293,8.11637858323907
24.2475,23.9841,23.3649,22.5901,22.0599,21.8584,0.912072,10.3626897707262
26.2677,26.0445,25.6892,25.1757,24.561,24.2446,1.00623,9.14468626914602
30.4339,27.4434,26.4249,26.1664,26.1563,25.5987,0.313574,7.2826198473819
27.8643,27.0871,26.3801,24.8838,24.2429,23.3321,1.38768,10.8813195933282
26.2548,25.5907,24.575,23.872,23.0956,22.6491,1.09424,10.3135297732023
25.8889,25.2873,24.5531,24.2432,24.09,24.0136,0.54617,8.32429892112704
27.4249,26.6987,25.022,23.9975,23.1223,22.6519,0.974037,10.6371653885865
