u,g,r,i,z,y,redshift,mstar
28.5003,27.7804,27.2033,26.6103,26.0865,26.1567,0.649628,8.46258515346397
26.2765,26.1387,26.0058,25.8945,25.8239,25.2934,1.83425,9.46911184262663
99,27.7182,27.3724,26.4659,26.6597,26.4985,0.717521,7.83003855621254
26.6151,25.3477,24.3688,24.0664,23.8217,23.8122,0.260178,8.26503963418921
24.759,23.7338,22.7912,22.5527,22.3025,22.3082,0.371332,8.90199091815485
29.8013,28.0092,27.3823,26.5938,26.1769,25.075,1.54989,9.40723109549703
27.8919,27.5237,26.4204,25.6665,25.194,24.6769,1.31521,9.7042921115208
27.9899,27.4112,26.7622,26.3004,25.8999,25.9306,0.707619,8.03342375548695
26.1116,25.3795,24.4795,24.2471,24.1746,23.8242,0.484743,8.27319579242232
26.4767,26.7187,26.8778,26.3005,26.5214,26.6288,1.26927,9.00932339338101
24.6892,24.7454,24.6244,24.5464,24.6558,24.7181,0.615418,7.55002522701348
28.3894,27.5303,26.4802,26.4133,26.2203,26.3063,0.505904,7.54476979330823
27.9882,27.7377,27.1053,26.7231,26.4752,26.0001,1.10576,8.35279588763335
28.5674,26.938,25.2789,23.9759,23.4121,23.061,0.778434,10.1621460398254
27.092,26.3975,25.8383,25.5726,25.6302,25.0626,0.24858,7.28103109344868
28.2534,27.3541,27.0554,26.7089,26.627,26.3123,0.591093,7.36133301509692
27.1732,27.1648,26.7934,26.4813,26.3418,25.6532,0.97948,8.04375512696868
99,28.8919,27.5203,26.6708,26.0965,24.7578,1.28186,9.65899150905077
24.7881,23.9453,22.9362,22.2958,22.0736,21.8641,0.586641,9.74630251415775
24.5556,24.5203,24.309,23.8415,23.2497,22.9344,1.08125,9.84370233483885
24.3301,23.6436,23.0556,22.9107,22.7455,22.7317,0.315927,8.36660971039243
26.2672,26.2485,26.2451,25.6219,25.3552,24.536,1.36983,9.91693430202997
26.6463,26.4007,25.3487,24.4617,24.219,24.1471,0.695348,9.09695170327722
26.9785,26.3323,25.254,24.8048,24.7353,24.2606,0.541985,8.2558029853537
27.4057,26.5413,25.9057,25.084,24.9518,24.5851,0.781659,8.66703620388174
29.0414,29.6253,28.6336,26.7998,26.207,25.7584,1.42363,10.0725366358695
99,28.5615,27.4906,26.7992,26.1131,25.3289,1.11507,9.53696224965028
26.8528,25.8032,24.8094,24.3284,24.0936,23.8273,0.547136,8.78229485671384
99,28.9911,27.3055,26.6102,26.0868,26.231,0.443883,8.0272843567538
26.265,25.4907,24.6792,24.4985,24.2677,24.0743,0.47519,8.18411766971972
28.4833,28.4048,27.3176,26.3407,25.4313,25.1623,0.945677,9.30705724307166
27.0291,25.6724,25.1511,24.9394,24.9485,24.8837,0.249274,7.32160878547976
26.2356,25.8902,25.3013,24.822,24.6588,24.8344,0.571702,8.33563639614613
25.9073,25.1614,24.1959,23.6616,23.512,23.2581,0.590039,8.9111309640894
99,29.4113,28.8382,26.8385,26.219,25.3719,1.29997,10.0431303303515
27.2472,26.5898,26.3647,25.9651,26.0514,24.838,1.47681,9.47728046684259
26.457,26.4625,25.8029,25.1981,24.4697,24.0432,1.22951,9.84356289087649
24.4705,23.6628,23.3945,23.1888,23.1917,23.1329,0.0889,7.06393352416304
27.4993,27.6136,26.8339,26.6589,26.1681,25.9694,0.832109,8.27266296969767
27.1793,27.1834,26.8314,26.9947,27.9406,99,1.84028,7.92952467631783
27.6515,27.5118,26.4777,26.4097,25.9448,27.5745,0.646702,7.75960515070031
30.0069,30.0684,27.2482,26.0656,25.4532,25.1876,0.932008,9.3421956038973
26.2638,25.8149,25.2811,24.6201,24.3155,24.4151,0.776478,8.71806883953448
27.3026,27.5333,26.7605,26.1177,25.7248,25.4743,1.01279,8.58750218416152
29.2275,29.0412,27.695,26.7199,25.8556,25.1774,1.03986,9.61979744409117
99,27.4055,26.527,26.3448,25.7412,25.8552,0.377878,7.61321581780062
27.3645,27.5411,27.5663,26.8851,27.4656,99,0.498323,6.22874673209521
28.4258,27.3999,26.958,26.0361,25.7303,25.5572,0.687637,8.16048353757995
24.3582,23.7813,23.0748,22.8645,22.6087,22.5929,0.313226,8.55336957641492
27.307,26.2812,25.4922,25.238,25.1179,24.8519,0.529703,8.04960561259497
28.2194,26.5292,24.881,23.6579,23.1475,22.7608,0.712119,10.1937977895694
25.1338,24.2217,23.4706,22.6511,22.4294,22.2337,0.750815,9.72651449116217
26.8736,26.5936,25.9624,25.2835,24.774,25.0443,0.833254,8.56413677827701
27.4267,27.6961,27.2461,26.4994,25.9891,26.165,0.988455,8.30764576881692
25.4501,24.9179,24.1054,23.896,23.5372,23.5139,0.358206,8.30861989727257
26.3679,25.8442,25.1331,24.4943,24.3555,24.2039,0.654978,8.65814309677064
30.2176,27.639,26.6418,25.7106,25.3555,24.3881,1.29279,10.1729909377119
28.9784,29.1689,28.2349,26.4679,25.3175,25.1846,1.66552,10.8620991639671
25.1703,25.1452,24.9812,24.8951,24.7141,24.5618,1.80247,9.64062849578411
27.5279,26.1919,25.1439,25.0278,24.9228,24.6464,0.434518,7.89024044443484
28.4923,27.7534,27.4833,26.5299,26.2897,26.8452,0.78233,7.88287615702983
28.6233,26.9231,26.0535,25.3724,24.9189,24.5979,0.954319,8.98400269290405
27.7754,27.7292,26.8553,26.3636,25.563,24.9569,1.15694,9.76744529926977
22.7468,22.1296,21.4923,21.312,21.0864,21.0817,0.296084,9.05115252244738
27.9863,27.547,26.6645,25.6226,25.2066,24.3454,1.30639,10.046007138121
27.6422,27.4797,26.7657,26.3906,26.0295,25.6298,0.904285,7.98133105428739
26.9539,25.8355,25.2085,24.9909,24.8571,24.747,0.256227,7.37720968996709
26.555,25.7683,25.2437,24.6265,24.0649,23.4883,1.31829,9.827024026854
27.5741,28.75,27.4683,26.4993,26.4122,26.0718,0.83974,8.13480163422515
27.3196,27.1951,26.6863,26.1649,26.1249,25.502,0.532803,7.36076565838317
24.6822,24.5021,24.1718,23.6038,22.9464,22.3481,1.22051,10.6714921956247
26.3259,26.3918,25.6374,24.9133,24.4133,24.1615,0.932178,9.14300855136767
29.2493,27.4891,27.109,26.4451,25.657,25.7245,1.04255,9.11675381236653
28.9206,28.187,28.1707,26.6793,26.106,26.4369,0.66046,8.57886145686353
26.8414,26.6621,26.076,25.4581,25.0501,24.7497,0.806232,8.50075638350328
26.0012,25.4455,24.6604,24.4059,24.1176,24.1595,0.313242,8.07907989884421
27.902,27.7563,27.6966,26.7411,26.88,26.8943,1.43233,8.74122331851548
28.0757,27.4169,26.4697,25.5782,24.9948,25.1892,0.895252,8.86833756177266
24.5189,24.0297,23.1675,22.8394,22.6792,22.4785,0.471952,8.98775963713787
30.9481,29.0036,26.6651,26.3544,25.7717,25.4159,0.48872,8.21277603430383
99,28.3514,27.2428,26.6066,26.5194,99,0.573276,7.79661734427202
24.1646,24.0263,23.6083,22.9215,22.6555,22.5656,0.825939,9.46620307146398
27.3928,27.861,27.1491,26.8255,26.2269,26.9165,0.488169,7.55849256929431
27.4958,27.2949,27.291,26.6014,27.0789,26.1774,0.830437,7.22423773519698
23.9358,23.1757,22.0561,21.3716,21.0551,20.7624,0.540349,10.3239756650779
26.9945,26.6917,26.0844,25.6983,25.54,25.4684,0.475806,7.32699090552036
26.3875,24.7939,23.9713,23.5804,23.4289,23.2248,0.197442,8.21881111859276
27.4924,28.0715,27.1163,26.921,26.2751,25.5056,1.33171,9.097434324122
28.4788,27.5299,25.5025,24.3845,23.3745,22.7881,1.04841,10.7542060962698
27.2353,27.0669,26.4586,25.8262,25.489,25.2286,1.67109,9.67110709166511
27.3084,27.3768,27.5721,26.8262,26.7372,27.2376,1.27322,8.4873052709256
30.106,28.4714,27.0751,26.4958,26.5188,25.467,0.654981,7.71697024208631
29.8016,28.7506,27.2748,26.8069,25.84,25.7829,0.972843,8.55834850876162
27.0615,26.338,25.7261,25.4856,25.3159,25.6176,0.419252,7.57325463425403
29.1008,27.3258,25.4654,24.3177,23.4813,23.1655,0.938522,10.339300356079
24.8276,24.9346,25.019,25.0478,24.9265,25.3907,0.751755,7.26840244026096
29.1549,28.738,26.8797,26.1088,25.945,25.8257,0.616504,8.5708767046657
27.2565,27.3754,26.6873,26.5235,26.3631,27.8761,0.349173,6.79965202678748
24.7184,24.6088,24.3446,23.9077,23.7754,23.6955,0.796105,8.72164988827552
27.9665,26.5845,24.3453,23.2584,22.3271,21.8886,0.95498,10.9559733384773
29.6772,28.3072,27.3824,26.5528,25.8085,25.3003,1.08247,8.67485654986279
27.4977,27.3238,26.894,26.4893,26.7515,25.7197,0.649749,7.51076880185316
25.2102,24.8633,24.6537,24.252,23.8942,23.3102,1.54447,10.4044933289235
22.9362,22.8428,22.5373,22.5928,22.4145,22.6118,0.380549,8.14664267979945
27.7206,29.3566,28.2155,26.7507,26.4693,26.9536,0.82204,7.98930206121489
27.1231,26.8264,26.0291,25.0463,24.2632,23.3751,1.20123,10.769157907628
29.2177,28.2218,27.1503,26.2159,25.8539,25.331,0.640197,8.01722121453722
27.257,26.581,25.247,24.8036,24.6478,24.2194,0.53516,8.55785353693384
27.0779,27.2927,26.656,26.1039,26.0798,25.5912,0.793571,8.11123898313483
27.0211,26.5807,26.0128,25.2607,25.0021,24.7426,0.80143,8.71608434870426
26.3642,25.8945,25.3088,24.6921,24.0868,23.8002,1.01588,9.58533324254793
30.9371,28.1509,27.8536,26.8181,26.2956,26.2908,0.60309,8.3123868339515
26.9175,25.7668,24.9218,24.6027,24.3276,24.5484,0.389897,8.24851518280919
28.2598,27.4377,27.0069,26.591,26.3722,25.8899,1.4958,8.96332496274098
26.8442,26.787,26.1885,25.8213,25.6948,25.7345,0.28515,7.07836980543433
26.3591,25.904,25.4985,24.7819,24.2913,23.6077,1.40369,10.2627523808202
27.6474,27.6362,27.3358,26.9449,26.5084,25.8512,1.3308,8.90304764121557
26.6384,26.7054,25.7486,25.6129,25.6511,25.2067,0.470506,7.75869014889382
26.7829,26.4544,25.8384,24.9507,24.5957,24.5871,0.778915,8.85346762170709
26.4918,25.9013,25.4578,25.4317,25.1242,24.8493,0.239204,7.10455539124051
99,28.6764,27.5678,26.5199,26.6332,25.7033,0.843756,8.60288111688975
28.6253,28.2539,27.3876,26.7202,26.7159,27.9414,0.448055,7.39845737940273
28.3292,27.5318,26.9042,26.2054,25.4458,25.3277,0.992741,8.49024510350855
26.7198,25.5951,24.9522,24.7429,24.5686,24.7455,0.301036,7.75943137306528
27.0352,26.5705,25.7725,25.4393,25.1847,24.9448,0.270712,7.72220435083637
26.8899,27.3218,26.6287,26.2873,25.8505,25.097,1.18825,8.83917123032739
26.3596,25.7848,24.7296,24.4412,24.2082,23.9443,0.445035,8.3563987693968
28.0031,27.0072,26.3295,25.857,26.1408,25.5055,0.423957,7.41908298052641
27.7651,27.9166,27.2483,26.8866,26.1907,28.6671,1.86073,9.34579507605025
99,27.1531,26.5654,26.0419,25.7994,25.6327,0.578134,7.89814683406333
27.443,26.937,26.5285,25.7612,25.1776,25.258,0.968746,9.00545507833047
27.2303,27.6912,27.1433,26.4814,26.2697,26.4967,0.686957,7.57328131783864
99,28.5264,26.2735,24.3986,23.7499,22.7156,1.33947,11.331277444136
30.4958,29.9845,27.0372,26.4582,25.4831,25.5097,1.18803,9.24706938646954
26.5219,26.5456,26.1833,25.5449,24.8362,24.7167,0.982158,9.14144977340047
26.864,26.9605,26.6779,26.1351,26.0807,25.6813,0.438539,7.27378114337794
24.5179,24.14,23.6436,23.0523,22.2922,21.7499,1.21718,10.682324716143
26.6687,25.7437,24.5233,24.0001,23.7509,23.5134,0.462627,9.01695816644061
24.7963,23.5859,22.2536,21.2403,20.8904,20.5692,0.655468,10.7766634176088
27.421,26.9091,26.5107,25.8644,25.4276,24.6776,1.78635,10.7255269644311
26.8072,26.84,26.4978,26.4031,26.5474,25.6559,1.44386,8.79945772421948
27.2582,28.0596,26.7883,26.8548,25.8228,25.615,1.04455,8.43396334378061
25.5914,25.0478,24.0435,23.0999,22.7549,22.4071,0.690409,9.95945258424159
27.4661,28.8248,27.8769,26.9933,27.3656,27.8463,0.72271,7.452542339776
26.8871,27.1008,26.9611,26.5298,26.3315,26.2179,0.461462,7.1346933623324
31.2126,29.2319,27.1879,26.8912,25.9334,26.2906,1.0815,8.69338834859052
32.7088,28.5241,27.3158,26.6791,26.2446,26.6517,1.76311,9.33937391729474
28.7995,29.8636,27.4847,25.9402,25.5161,24.4421,1.51845,10.6840406333688
23.715,22.9602,21.9865,21.737,21.5542,21.4646,0.416555,9.33584488219903
27.6899,27.7925,26.6372,25.7589,25.2725,25.2183,0.854019,9.06520612805431
26.8551,26.4125,25.4824,25.1839,25.0298,25.392,0.38724,7.95070650776366
99,28.0853,27.5853,26.7787,26.6867,27.4308,0.783119,8.03159426214112
28.7772,28.7358,27.3606,26.041,25.0358,24.0961,1.70781,11.4184951886947
26.6831,26.0521,25.5056,24.9767,24.3056,24.0397,1.11927,9.3463784053649
26.6055,26.1242,25.2673,24.9671,24.7764,24.6276,0.578836,8.26097244882326
26.8379,26.3537,25.7339,24.9898,24.2893,24.0834,0.966908,9.71195815177024
25.8982,25.2843,24.7108,24.5398,24.2903,24.4107,0.297845,7.75906318816049
27.4759,26.9354,25.8489,25.0233,24.1742,23.928,1.11691,9.99528630286407
26.6211,25.6608,24.8117,24.4517,24.2615,24.3511,0.173181,7.83757770698928
26.0666,25.4519,24.9697,24.315,23.7006,23.5036,1.00761,9.5874853426213
26.694,26.2947,25.6474,24.8077,24.6356,24.2454,0.719459,8.73670557806634
27.4058,26.999,25.86,25.0408,24.778,24.502,0.604828,9.00741062099194
26.9307,26.3777,25.6071,25.1552,24.8825,24.8942,0.57406,8.30793866428615
28.6833,28.0187,27.115,26.113,25.636,24.7921,0.929031,9.12452704751818
25.6558,24.2716,23.317,22.9214,22.7287,22.57,0.243664,8.7545119299287
25.8682,25.6088,25.1586,24.4553,23.9827,23.8632,0.929839,9.20377784101547
29.7841,26.9193,26.1871,25.8113,25.4893,25.3073,0.533287,7.98946628138724
24.6033,22.6988,21.11,20.3593,19.9982,19.7232,0.482091,10.8719941836238
26.7406,26.4721,25.8071,25.0336,24.7918,24.6315,0.773142,8.9000321283946
27.3181,27.216,26.5979,26.3415,25.25,24.4839,1.17467,9.08163890021593
28.1139,27.1602,26.0613,25.667,25.2783,24.7925,0.510426,8.30236556694267
26.8798,26.468,25.5719,25.1155,25.1344,24.8227,0.573015,8.23578591729977
26.3825,25.826,25.1901,25.0547,24.7992,24.9192,0.298958,7.46986912333314
99,28.0728,26.9452,26.4734,26.3958,26.8168,0.702492,7.90255982425896
27.1311,26.2026,25.2947,25.0226,24.8129,24.619,0.480598,8.06624017635577
99,27.0149,26.2211,26.2328,26.0515,25.8547,0.302768,7.07898939028018
27.2906,28.1002,26.9311,26.7768,26.5668,27.2515,0.405166,7.22091052942032
28.822,27.2654,26.5182,26.078,25.7368,26.1422,0.570155,8.32913132180397
99,29.6129,28.6225,26.9919,26.8945,27.2601,1.00235,8.97302342556379
27.1153,25.7638,24.8531,24.4056,24.2598,23.9034,0.205495,8.02159031924384
28.4529,27.6351,27.0314,26.6047,25.7487,26.032,0.959669,8.51540221932176
25.9087,25.2181,24.4956,23.6502,23.3992,23.2707,0.795892,9.23898647408134
25.902,23.7111,22.0115,20.7267,20.2344,19.8525,0.698301,11.3961138751128
27.5036,27.1177,26.4442,25.7602,25.2119,25.3286,0.974373,9.00794824096864
26.7179,26.1967,25.4679,24.9336,24.1961,24.1598,1.0895,9.27349666418239
27.0904,26.1064,25.7258,25.397,24.8379,24.5534,1.12223,8.99316057546969
26.6212,26.5694,26.6503,26.4428,26.8462,26.3693,0.534932,6.19025604028369
23.8074,23.0132,21.9571,21.1825,20.957,20.7535,0.654754,10.2944331567948
28.1262,26.9779,26.5609,25.6717,25.2742,25.2578,0.768652,8.25948397748877
27.8025,26.6469,25.7451,25.5793,25.4094,25.4469,0.384588,7.54305060439307
99,27.9986,27.3492,26.9314,26.7646,26.0998,0.72188,7.52906315360182
30.5096,28.1643,27.5421,26.9342,27.2532,99,0.602053,7.2639554593174
26.7914,27.3619,27.0199,26.5481,26.6697,99,0.713806,7.4655939981136
24.4171,24.3183,23.5325,22.6524,21.9837,21.6421,0.967919,10.606079188848
27.1063,26.9649,26.554,26.8058,26.6202,26.7701,0.370246,6.20558596384276
99,28.9769,28.0111,26.4393,25.8615,25.4273,0.687812,8.92464724641394
29.5631,28.1411,27.1007,25.8393,25.2541,24.7895,1.05953,9.53709592800324
26.5886,26.8792,26.127,25.6466,25.0043,24.8499,1.02532,8.97680054928702
28.4641,27.502,25.829,25.3065,24.9976,24.9634,0.446538,8.49265843655549
25.4265,23.9538,23.2842,22.9418,22.8875,22.693,0.177409,8.20812680905227
23.0377,22.3824,21.2773,20.4043,20.0826,19.7851,0.654611,10.926574454325
27.4304,27.4674,26.7441,26.8546,26.3923,27.8021,0.337812,7.13184954242758
26.4328,26.2106,25.3651,25.1593,24.94,24.7803,0.418458,7.92656931137352
26.4828,26.859,26.8513,26.4102,26.6034,26.2725,1.06399,7.61999855869835
26.1913,26.6747,26.1448,25.4682,25.273,25.1688,0.697467,8.38834280395227
27.0761,27.0225,26.6841,26.49,26.6189,25.9643,0.712273,7.6796894847834
26.1861,25.9139,25.5351,25.1981,24.6112,24.3288,1.18161,9.09953907532217
26.969,26.2627,25.7176,25.0914,24.7206,24.3831,1.61965,10.0431342627001
25.8715,24.869,24.3145,24.0554,23.9885,23.8041,0.182921,7.59532313090629
25.333,25.0856,24.9402,24.5245,24.1962,23.5218,1.49867,10.4734417134917
27.7412,26.6755,26.1157,25.4488,24.9582,24.2719,1.54367,10.1923945931511
25.2373,25.0478,24.7406,24.5774,24.0542,23.6075,1.8815,11.1015236846893
22.7842,22.6063,21.914,21.5453,21.3937,20.9482,0.516669,9.58484325418091
25.1289,24.6734,24.0606,23.3007,22.999,22.7772,0.705849,9.62077400948747
27.0786,26.6126,25.5522,25.1924,24.8495,24.9403,0.437188,8.38770119639082
26.6231,26.8808,26.5802,26.1235,25.5181,25.1962,1.365,9.26324301402437
26.9462,26.5756,25.0169,24.2966,24.0298,23.4971,0.514018,9.11193763253673
99,27.8169,26.4529,25.6528,25.4198,24.8864,0.663394,8.70034540619667
27.2199,26.9536,26.3069,25.7572,25.3597,25.1532,0.842925,8.23243700922055
25.8398,25.9476,25.4036,24.9952,24.8653,24.6409,0.612627,8.21417069981408
24.8805,24.8648,24.4941,24.1986,24.135,24.1081,0.642005,8.23617687934369
25.8354,25.4099,24.9431,24.6219,24.5305,24.5643,0.615919,8.18294221937995
26.2226,26.3709,26.419,26.0049,26.1529,26.2299,0.880508,7.50805274319839
30.3739,28.3089,26.6343,25.7781,24.9272,25.0749,0.792882,9.30718999852751
26.519,26.221,25.0755,24.7137,24.5095,24.1571,0.463656,8.34510503190547
28.6146,27.4268,26.7977,26.5036,25.9455,25.9219,1.16487,8.88257007103124
26.3798,26.5446,26.3033,25.9481,25.744,25.3612,0.770881,7.94609200493524
28.083,28.143,26.6759,26.5278,26.2543,25.2983,1.94796,9.42396800480771
26.0153,26.1587,26.1457,25.8432,25.5311,25.6138,0.925311,8.10869691557889
30.1648,28.2549,27.214,26.8864,26.6627,26.4078,0.426105,7.3001844703565
27.0969,27.4944,27.0201,26.4892,26.2524,25.1296,1.53548,9.12386796752042
26.626,26.1312,25.4521,25.2441,25.0519,25.3686,0.243845,7.32558338831811
27.7643,28.1872,27.8119,26.8841,26.2837,26.5849,1.11255,8.53359413655076
29.4537,28.6392,27.3827,26.6964,26.2592,25.5432,0.833653,7.90138475210988
26.3622,25.947,24.7699,24.1973,23.8689,23.6924,0.441287,9.01800523766758
26.7563,26.0846,25.0453,24.8206,24.7316,24.7169,0.449532,8.13739209464979
27.142,26.222,25.4173,24.6759,24.5241,24.2674,0.688369,8.50471818359496
28.9419,29.3316,27.8705,26.0398,25.0776,24.6512,1.76341,11.1102428095287
28.3595,28.1106,26.8817,26.1898,25.9982,26.2308,0.422905,7.96456461377899
28.3475,28.1739,26.3802,25.1079,24.1853,23.5173,1.18801,10.5867729090195
29.4166,28.9204,28.2563,26.9237,25.7518,25.7622,0.943701,8.98111338190728
99,26.2602,25.4698,25.2358,25.0633,24.4537,0.273635,7.66003212316788
27.3034,27.4391,27.0662,26.4175,26.3385,25.5275,0.71792,7.8709911518134
99,29.5708,27.7524,26.5553,26.5243,25.2151,0.972535,8.45236153313457
31.6451,28.6017,26.7634,25.9639,25.3681,25.6456,0.692036,8.75022751684651
27.7169,26.582,25.714,24.6505,24.2743,24.1255,0.71366,9.3572466691194
27.7704,27.5108,27.3199,26.5161,26.1209,25.39,0.859527,8.03970355236373
26.7663,25.6165,24.0098,22.963,22.0494,21.5815,1.0096,11.009433897639
25.5929,24.9569,24.0903,23.7807,23.5417,23.4461,0.392685,8.55824643696404
27.4898,26.6258,25.8926,25.5804,25.3,25.1632,0.493406,7.79469573335701
29.0451,27.6315,26.5202,26.1079,25.9357,25.2902,0.441548,8.15669449754529
24.8159,24.3532,23.5275,23.1521,23.0048,22.7125,0.528928,8.93363759454086
27.9794,27.338,26.9528,26.9295,26.7429,26.8541,0.369314,6.82153514433425
24.5015,24.5214,24.3674,23.9732,23.453,23.1437,0.918825,9.86124040092823
28.0452,26.8447,25.7582,25.3565,25.1589,24.6607,0.410571,8.23430463975834
28.6434,26.7138,24.3884,23.2794,22.2805,21.7491,1.00075,11.1676126727275
31.2988,28.1159,27.4461,25.9548,25.1246,24.3246,1.42837,10.699860263519
27.4753,28.4787,27.3337,26.3222,26.1682,25.9446,0.850366,8.14750009784779
27.8266,27.158,26.805,25.9571,25.4974,26.1015,0.749147,8.08956955113901
27.283,25.6434,23.9452,22.7201,22.2845,21.9362,0.675694,10.4677486551579
27.0527,27.1732,26.7723,25.8359,25.3663,25.2034,1.04098,8.80494931430363
27.603,27.225,25.9634,24.8629,24.562,24.4171,0.698003,9.19772703144578
28.238,27.8936,27.6055,26.6484,26.2887,25.2498,1.51357,9.54616001970573
22.6385,21.6205,20.6532,20.2334,19.9674,19.78,0.27334,9.93491386222524
29.2794,26.9001,25.4693,24.9839,24.6305,24.596,0.418899,8.54849628933863
28.3771,27.6948,26.7906,26.7396,26.704,99,0.445609,7.18853195637326
99,28.7822,27.7619,26.8691,26.5344,26.4518,0.689068,8.35235813059147
33.1107,28.4786,27.4205,26.5205,27.5818,27.3092,0.715449,7.61193244105131
26.559,26.7786,26.2719,26.2378,26.0634,25.6954,0.408263,7.2086724170247
28.8057,27.0661,26.5255,26.3768,26.8272,25.6318,0.413005,7.09903113052252
99,26.6895,26.2713,26.0165,25.9084,26.5422,0.292194,7.04384543198326
26.2227,25.8807,25.6808,25.0507,24.5918,23.685,1.36039,10.2489903355737
27.2461,27.2361,26.6748,26.1282,25.7157,25.115,1.64637,9.18018037369398
27.1952,27.0093,26.6805,26.1724,25.4345,25.1192,1.02299,8.67482716711339
28.1145,27.4487,26.5628,26.3852,25.6213,26.0096,0.351802,7.31523330801825
28.2271,28.5273,28.2655,26.4893,25.3219,24.6158,1.73581,11.132877383054
25.7431,25.4729,25.0029,24.937,24.9249,24.5954,0.431479,7.62980395513125
26.3652,26.8501,26.6124,26.9347,26.2276,26.0879,1.76617,8.38014428281743
28.5345,28.2182,27.6749,26.9933,26.8114,25.6335,1.5351,8.8557087017083
28.4398,27.5391,26.6058,26.3488,25.9411,25.7751,0.571995,7.50302761524709
27.8085,27.4142,26.9042,25.8813,25.3346,25.0906,0.797938,8.78467576512909
99,29.1597,27.9768,26.9029,26.1423,25.8685,1.04281,8.27567752810105
24.9936,24.9476,24.6401,24.5864,24.6353,24.6901,0.453028,7.49114449228841
27.2026,26.1965,25.3945,25.0741,25.0377,24.7177,0.181666,7.52682112855986
27.9965,27.5239,27.4066,26.6184,26.8388,26.4392,0.887201,7.47005014467738
27.6377,27.4848,27.1001,26.1979,25.8934,25.7583,1.259,8.89618051821131
29.6512,27.8315,26.7506,26.4438,26.2305,25.935,0.42793,7.64924818591852
26.9378,26.5213,26.2997,26.0054,25.4988,25.3098,1.30791,8.95170850234025
28.1167,27.8696,27.0666,26.6194,26.1547,26.4497,0.863003,8.01418439750128
28.4201,29.2061,27.617,26.8091,27.17,26.0026,0.830729,7.79812489315618
28.4473,28.0451,26.5726,25.8098,25.5196,25.2493,0.408221,8.30015400943013
23.521,23.346,23.2645,23.0456,22.6109,22.199,1.2961,10.4301799059748
27.0426,26.6157,26.7557,26.6404,26.371,99,0.863514,7.34072760271105
24.2864,22.2355,20.6379,19.7607,19.3723,19.079,0.508856,11.290920114176
25.1742,24.7517,23.6289,22.61,21.9013,21.6007,0.873801,10.8254410484126
29.0771,28.0641,27.4674,26.1177,24.8541,24.3804,1.76456,11.5140334667323
29.8047,30.4869,28.3945,26.8422,26.124,25.0202,1.46198,10.434469899155
27.4004,27.2141,26.9475,26.4244,26.1232,25.1356,1.45656,9.60892270766819
28.1927,27.3372,26.439,24.9357,24.0319,23.4233,1.61531,11.387058639544
25.5283,24.3569,23.0419,22.2846,21.9323,21.6332,0.522553,10.0916669575957
24.138,23.5139,22.7599,22.6159,22.4192,22.463,0.369378,8.62368956584187
27.2564,26.0976,25.5246,25.3641,25.2915,25.3602,0.295433,7.30282426324263
27.4073,27.0617,26.7626,26.3155,26.1609,25.1376,1.07867,8.34208498430766
28.0319,28.0324,27.0209,26.1821,26.2735,25.5052,0.859472,8.10499553904296
27.4431,27.661,26.8535,26.1993,25.3805,25.5691,1.07949,8.96227981536791
26.919,26.1299,25.3237,25.1666,25.0818,24.753,0.289539,7.6147095434073
28.3314,27.901,27.1055,26.8382,27.5103,25.8094,0.529137,7.2108453474966
27.6278,26.4424,25.4801,24.8881,24.7851,24.6855,0.619245,8.57157607808674
26.6619,26.0987,25.5379,24.7054,24.5168,24.3217,0.818877,8.79633561377708
26.2508,25.9344,25.1775,24.4776,24.1669,23.9913,0.688419,9.09049436336678
26.1035,25.7814,25.401,24.7489,24.3513,24.4317,0.90896,8.81798227717739
28.0873,27.3334,26.4028,25.9879,25.8411,26.0999,0.3406,7.44279479265585
33.5132,99,27.8971,26.9952,27.0609,99,1.26338,8.67467195648693
27.9222,27.7945,26.6778,25.8335,25.6749,26.6926,0.635952,7.98627537001457
27.2583,27.0446,26.6301,25.9117,25.8714,25.4522,0.729436,8.06541537618262
27.4138,27.3194,26.351,25.6281,25.2636,25.0439,0.717229,8.47061626898589
27.3778,26.561,25.3046,24.2466,23.6066,23.3429,0.887476,10.0454520741735
26.1389,26.408,26.0288,26.0441,26.0647,25.813,0.446269,7.03395021938242
25.7803,24.8224,23.7665,23.1045,22.8782,22.754,0.575248,9.41643745632729
26.0162,23.6733,22.0853,21.0723,20.6879,20.4166,0.570333,10.8580075407269
26.9348,26.8216,26.3804,25.9203,25.285,24.588,1.32908,9.99547109679507
28.6969,28.1546,26.8172,26.5603,26.8012,25.7103,0.468567,7.5746955195702
28.9143,26.3427,24.8416,23.8043,23.4074,23.1575,0.682093,9.72040409376991
24.3115,23.5341,22.5006,21.5426,21.1783,20.8473,0.67397,10.6485892969686
24.9177,24.6067,23.9144,23.1712,22.9572,22.8013,0.71103,9.44423222071358
29.6539,27.5306,26.9806,26.4704,26.2443,27.4557,0.595355,7.67147924094657
26.8854,26.277,25.3368,24.3786,23.8663,23.8614,0.851029,9.50330574521844
26.8538,27.3177,26.9023,26.3157,26.3811,25.5658,0.829738,8.07410299785318
26.1244,25.8599,25.1883,25.0079,25.0047,24.9369,0.460027,7.7714779748976
26.0607,25.8496,25.5313,24.8874,24.4925,24.5501,0.95973,8.71520417508783
27.8026,27.7084,26.8454,26.7183,25.8638,25.3037,1.04621,8.63583345431205
